Time (min),CRY_ANIMO,CRY_ODE,
1063.5508, ,97.2889,
1065.7105, ,97.5208,
1066.9662, ,97.741,
1067.002,92.5926, ,
1069.9798, ,97.9465,
1071.6875, ,98.1411,
1072.5414, ,98.3252,
1074.6508, ,98.4987,
1077.2124, ,98.6594,
1078.5183, ,98.8103,
1079.774, ,98.9515,
1081.8835, ,99.0832,
1082.7374, ,99.2039,
1083.1895, ,99.3156,
1084.4451, ,99.4184,
1087.8605, ,99.5124,
1090.0202, ,99.5969,
1090.8741, ,99.6731,
1092.1297, ,99.741,
1092.5818, ,99.8008,
1094.6913, ,99.8522,
1100.2163, ,99.8958,
1101.0701, ,99.9317,
1103.2299, ,99.96,
1104.0837, ,99.9807,
1104.9376, ,99.994,
1107.4991, ,100,
1110.0607, ,99.9988,
1113.0241, ,99.9905,
1115.9875, ,99.9752,
1116.8413, ,99.9529,
1117.6952, ,99.9237,
1119.0011, ,99.8876,
1120.802,96.2963, ,
1121.5626, ,99.8448,
1124.1242, ,99.7952,
1126.2337, ,99.739,
1127.9414, ,99.6759,
1129.6492, ,99.6061,
1138.1877, ,99.5969,
1142.8587, ,99.5124,
1150.0914, ,99.4184,
1156.5204, ,99.3156,
1164.1549, ,99.2039,
1165.8626, ,99.1121,
1168.8762, ,98.999,
1170.5839, ,98.8794,
1172.6935, ,98.7535,
1175.255, ,98.724,
1176.5609, ,98.6942,
1177.4148, ,98.6641,
1183.3415, ,98.6337,
1184.6474, ,98.603,
1187.209, ,98.5719,
1192.1312, ,98.5405,
1193.5877, ,98.5088,
1199.9665, ,98.4709,
1201.6743, ,98.4325,
1202.1263, ,98.3937,
1203.3819, ,98.3544,
1206.3956, ,98.2065,
1209.3589, ,98.0526,
1212.3223, ,97.8929,
1217.0436, ,97.7272,
1217.4454, ,97.5586,
1218.7513, ,97.3843,
1220.007, ,97.2044,
1222.5686, ,97.0191,
1224.402,100, ,
1226.8379, ,96.8271,
1228.5455, ,96.6297,
1229.8012, ,96.4267,
1232.3628, ,96.2184,
1236.6321, ,96.002,
1237.285, ,95.7801,
1238.3398, ,95.5527,
1240.4995, ,95.3199,
1243.0611, ,95.0771,
1248.9878, ,94.8286,
1250.2937, ,94.5747,
1250.6955, ,94.3152,
1256.6725, ,94.043,
1258.3802, ,93.765,
1262.1975, ,93.4813,
1262.6495, ,93.192,
1265.6129, ,92.9002,
1267.7726, ,92.6029,
1269.0283, ,92.3001,
1270.3342, ,91.992,
1271.188, ,91.7018,
1274.1514, ,91.407,
1275.4573, ,91.1077,
1278.4207, ,90.8039,
1281.384, ,90.5121,
1283.5438, ,90.2163,
1286.4067, ,89.9166,
1289.0687, ,89.6129,
1292.0824, ,89.3177,
1295.0457, ,89.019,
1295.8996, ,88.7166,
1298.0091, ,88.4108,
1300.5706, ,88.1114,
1301.8766, ,87.8088,
1303.5843, ,87.5028,
1304.4381, ,87.1937,
1306.5476, ,86.8897,
1306.9997, ,86.5827,
1309.5613, ,86.2727,
1310.4151, ,85.9597,
1312.0726, ,85.651,
1312.9264, ,85.3394,
1314.6341, ,85.0251,
1317.1957, ,84.7079,
1318.0495, ,84.3944,
1323.1727, ,84.0781,
1325.3324, ,83.7593,
1327.894, ,83.4378,
1331.7112, ,83.1195,
1333.8208, ,82.7986,
1334.2728, ,82.4753,
1334.6746, ,82.1494,
1335.5284, ,81.8263,
1337.2362, ,81.5008,
1337.6882, ,81.173,
1341.1036, ,80.8428,
1342.8113, ,80.515,
1351.7517, ,80.1849,
