Time (min),TIM_ANIMO,TIM_ODE,
1361.9477, ,48.3665,
1362.032,3.8462, ,
1364.1075, ,48.9321,
1368.3767, ,49.4984,
1370.0844, ,50.0654,
1372.646, ,50.633,
1373.0478, ,51.1956,
1376.0614, ,51.7586,
1378.5727, ,52.3221,
1379.3261, ,52.8859,
1381.5864, ,53.4453,
1384.5498, ,54.0049,
1387.5633, ,54.5647,
1389.6728, ,55.1247,
1390.5267, ,55.6808,
1392.2344, ,56.2369,
1393.2892, ,56.7931,
1396.0516, ,57.3491,
1397.3575, ,57.9022,
1399.9191, ,58.455,
1401.66,0, ,
1402.0287, ,59.0077,
1405.8961, ,59.56,
1406.75, ,60.1106,
1407.1518, ,60.6607,
1409.3115, ,61.2104,
1411.0192, ,61.7595,
1413.9826, ,62.3087,
1421.6673, ,62.8572,
1423.7768, ,63.405,
1426.3383, ,63.9521,
1427.6442, ,64.5019,
1428.0461, ,65.0507,
1429.7538, ,65.5987,
1432.3154, ,66.1456,
1434.8769, ,66.6995,
1437.4384, ,67.2522,
1440,0,67.8037,
