Time (min),CYC/CLK_ANIMO,CYC/CLK_ODE,
1192.1312, ,60.6803,
1193.5877, ,60.8227,
1199.9665, ,60.9909,
1201.6743, ,61.1589,
1202.1263, ,61.3266,
1203.3819, ,61.4942,
1206.3956, ,62.1073,
1209.3589, ,62.7174,
1212.3223, ,63.3243,
1217.0436, ,63.928,
1217.4454, ,64.5189,
1218.7513, ,65.1066,
1220.007, ,65.6909,
1222.5686, ,66.2718,
1226.8379, ,66.8526,
1228.5455, ,67.4297,
1229.8012, ,68.0033,
1232.3628, ,68.5731,
1236.6321, ,69.1461,
1237.285, ,69.7152,
1238.3398, ,70.2803,
1240.4995, ,70.8415,
1243.0611, ,71.4093,
1248.9878, ,71.9729,
1250.2937, ,72.5321,
1250.6955, ,73.087,
1256.6725, ,73.6525,
1258.3802, ,74.2132,
1262.1975, ,74.7692,
1262.6495, ,75.3204,
1265.6129, ,75.8611,
1267.7726, ,76.3971,
1269.0283, ,76.9282,
1270.3342, ,77.4545,
1271.188, ,77.9377,
1274.1514, ,78.4167,
1275.4573, ,78.8914,
1278.4207, ,79.3619,
1281.384, ,79.8034,
1283.5438, ,80.2411,
1286.4067, ,80.6749,
1289.0687, ,81.1049,
1292.0824, ,81.5139,
1295.0457, ,81.9194,
1295.8996, ,82.3213,
1298.0091, ,82.7196,
1300.5706, ,83.1016,
1301.8766, ,83.4803,
1303.5843, ,83.8556,
1304.4381, ,84.2275,
1306.5476, ,84.5862,
1306.9997, ,84.9417,
1309.5613, ,85.294,
1310.4151, ,85.6431,
1312.0726, ,85.9811,
1312.9264, ,86.316,
1314.6341, ,86.648,
1317.1957, ,86.9768,
1318.0495, ,87.2962,
1323.1727, ,87.6126,
1325.3324, ,87.9261,
1327.894, ,88.2366,
1331.7112, ,88.5389,
1333.8208, ,88.8384,
1334.2728, ,89.135,
1334.6746, ,89.4288,
1335.5284, ,89.7153,
1337.2362, ,89.999,
1337.6882, ,90.28,
1341.1036, ,90.5583,
1342.8113, ,90.83,
1351.7517, ,91.099,
1354.715, ,91.3654,
1356.4228, ,91.6291,
1358.1304, ,91.8868,
1359.4364, ,92.142,
1360.692, ,92.3945,
1361.9477, ,92.6444,
1364.1075, ,92.8889,
1368.3767, ,93.1309,
1370.0844, ,93.3702,
1372.646, ,93.6068,
1373.0478, ,93.8386,
1376.0614, ,94.0677,
1378.5727, ,94.2942,
1379.3261, ,94.518,
1381.5864, ,94.7373,
1384.5498, ,94.954,
1387.5633, ,95.1679,
1389.6728, ,95.379,
1390.5267, ,95.586,
1392.2344, ,95.7901,
1393.2892, ,95.9914,
1396.0516, ,96.1898,
1397.3575, ,96.3843,
1399.9191, ,96.5757,
1402.0287, ,96.7641,
1405.8961, ,96.9492,
1406.75, ,97.1306,
1407.1518, ,97.3087,
1409.3115, ,97.4832,
1411.0192, ,97.6541,
1413.9826, ,97.8215,
1421.6673, ,97.9848,
1423.7768, ,98.1441,
1426.3383, ,98.299,
1427.6442, ,98.4503,
1428.0461, ,98.5968,
1429.7538, ,98.7382,
1432.3154, ,98.8741,
1434.8769, ,99.0063,
1437.4384, ,99.1321,
1440,0,99.2514,
