Time (min),PER/TIM-p_ANIMO,PER/TIM_ODE,
1397.3575, ,15.7234,
1399.9191, ,16.1416,
1402.0287, ,16.5659,
1405.8961, ,16.9963,
1406.75, ,17.4316,
1407.1518, ,17.8729,
1409.3115, ,18.3202,
1411.0192, ,18.7736,
1413.9826, ,19.2334,
1421.6673, ,19.6992,
1423.7768, ,20.1709,
1426.3383, ,20.6486,
1427.6442, ,21.1354,
1428.0461, ,21.6282,
1429.7538, ,22.127,
1432.3154, ,22.6317,
1434.8769, ,23.15,
1437.4384, ,23.6743,
1438.66,0, ,
1440,0,24.2047,
