Time (min),CLK,clk,CLK/CYC_data,clk_data,CLK_data,CRY,cry,CRY_data,CWO,cwo,cwo_data,CWO_data,CYC/CLK,pdp1,PDP1,pdp1_data,PDP1_data,per,PER,PER/TIM-p,PER/TIM_data,per_data,PER_data,tim,TIM,tim_data,TIM_data,VRI,vri,vri_data,VRI_data,
0.1077, , , , , , , , , , , , ,47.7778, , , , ,58.8235, , , , , , , , , , , , , ,
0.1081, , , , , , , , , , , , ,46.6667, ,3.0769, , , , , , , , , , , , , , , , ,
0.1093, , , , , , , , , , , , , , , , , , , ,10, , , , , , , , , , , ,
0.1095, , , , , , , , , , , , , , , , , ,52.9412, , , , , , , , , , , , , ,
0.11, , , , , , , , ,15.942,44.0476, , ,47.7778, , , , , , , , , , , , , , , , , , ,
0.1109, , , , , , ,43, , , , , , , , , , , , , , , , , , , , , , , , ,
0.112, , , , , , , , , , , , , , ,4.6154, , , , , , , , , , , , , , , , ,
0.1125, , , , , , , , , , , , , ,30.8824, , , , , , , , , , , , , , , , , ,
0.1126, , , , , , , , , ,44.0476, , , , , , , , , , , , , , , , , , , , , ,
0.1129, , ,99.9946,8.6647,0.4664, , ,60.3995, , ,67.9881,11.165, , , ,75.2306,51.4579, , , ,31.5557,98.7473,67.6807, , ,88.1509,74.752, , ,88.7874,36.3254,
0.1138, , , , , , , , , , , , ,47.7778, , , , , , , , , , , , , , , , , , ,
0.1156, , , , , , ,42, , , , , ,48.8889,29.4118, , , ,58.8235, , , , , , , , , , , , , ,
0.1166, , , , , , , , , , , , , , , , , , , , , , , ,47.0588, , , , , , , ,
0.1171, , , , , , , , , , , , , ,27.9412, , , , , , , , , , , , , , ,28.3019, , ,
0.1177, , , , , , , , , ,45.2381, , , , , , , , , , , , , , , , , , ,30.1887, , ,
0.119, , , , , , , , , , , , , ,29.4118, , , , , , , , , , , , , , , , , ,
0.1194, , , , , , , , ,17.3913,45.2381, , , , , , , , , , , , , , , , , , , , , ,
0.1197, ,94.4444, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1198, , , , , , ,41, , , , , ,47.7778, , , , , , , , , , , , , , , , , , ,
0.1204, , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , , ,
0.1215, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.5088, , , ,
0.1219, , , , , ,93.617, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1223, , , , , , , , , , , , ,48.8889, , , , , , , , , , , , , , , , , , ,
0.1226, , , , , , , , , ,46.4286, , , , , , , , , , , , , , , , , , , , , ,
0.1229, , , , , , , , , , , , ,50, , , , , , ,5, , , , , , , , , , , ,
0.1236, , , , , , , , , , , , ,48.8889, , , , , , , , , , ,41.1765, , , , , , , ,
0.1237, , , , , ,92.5532,40, , , , , , , , , , , , , , , , , , , , , , , , ,
0.1243, , , , , ,93.617, , , , , , , , , , , , , , , , , , , , , , , , , ,
0.1249, , , , , , , , , ,46.4286, , , , ,6.1538, , , , , , , , , , , , , , , , ,
0.1256, , , , , , , , , , , , ,48.8889,30.8824, , , , , , , , , , , , , , , , , ,
0.1259, , , , , ,92.5532, , , ,45.2381, , ,50, , , , , , , , , , , , , , , , , , ,
0.1266, , , , , ,93.617, , , , , , , , , , , , , , , , , , , , , , ,32.0755, , ,
0.1273, , ,99.9735,9.0205,0.5526, , ,59.9272, , ,68.8473,11.6044, , , ,75.8347,52.146, , , ,32.2572,98.9126,68.3756, , ,88.6308,75.3544, , ,89.2741,36.9872,
