t,CLK,CLK/CYC,per,PER,tim,TIM,PER/TIM,cwo,CWO,pdp1,PDP1,vri,VRI,clk,CRY
1091.04121,40.76445186,30.57464248,29.34337714,14.12267876,25.2714396,16.45376629,11.99457207,1.283849162,1.023212147,17.43530386,19.49949185,8.498377882,6.659435124,15.17707604,68.59207297
1091.086132,40.73642333,30.65257753,29.46663415,14.19467502,25.40382863,16.55931145,12.02020528,1.299059076,1.023239246,17.49506577,19.55273305,8.54081162,6.669800341,15.17542554,68.47742739
1091.131055,40.70891725,30.72978442,29.58871181,14.26716567,25.53621346,16.6652248,12.04652478,1.314464302,1.023299656,17.55505254,19.60655177,8.58325907,6.680359553,15.17403988,68.36188218
1091.175977,40.68193691,30.80626331,29.7096101,14.34014187,25.66857615,16.77149231,12.07353536,1.330065369,1.023393718,17.61525899,19.66094467,8.625714293,6.691112537,15.17291992,68.24544304
1091.220899,40.65548558,30.88201429,29.82932927,14.41359467,25.80089881,16.87809992,12.10124173,1.345862733,1.023521779,17.67567993,19.71590831,8.668171354,6.702059046,15.1720665,68.12811573
1091.265122,40.62996573,30.95587548,29.94603416,14.48636116,25.93110591,16.98336699,12.12920107,1.361606379,1.023681394,17.73536504,19.77057068,8.709963739,6.713023981,15.17148752,68.01175229
1091.309345,40.60496476,31.02903117,30.06159752,14.559572,26.06124001,17.08893666,12.15784346,1.377540938,1.023874631,17.79524793,19.8257793,8.751746502,6.724175926,15.17116843,67.89453923
1091.353568,40.5804857,31.10148118,30.17602022,14.63321835,26.19128426,17.19479558,12.18717311,1.393666633,1.024101828,17.85532353,19.8815306,8.793513998,6.73551458,15.17111,67.77648212
1091.397791,40.55653161,31.17322518,30.28930332,14.70729128,26.32122187,17.30093038,12.21719408,1.409983617,1.024363328,17.91558677,19.93782096,8.835260588,6.747039619,15.17131297,67.65758655
1091.441398,40.5334278,31.24327905,30.39989535,14.78074236,26.44923067,17.40584542,12.24747816,1.426260937,1.024655116,17.97519022,19.99385227,8.87640032,6.758586464,15.17176982,67.53952986
1091.485006,40.51084023,31.3126453,30.50938174,14.85459067,26.57710354,17.51100305,12.27844202,1.442724324,1.024980927,18.03496622,20.05040043,8.917508866,6.770313853,15.17248227,67.42066879
1091.528614,40.48877174,31.3813231,30.61776388,14.92882735,26.70482459,17.6163906,12.31008924,1.459373693,1.025341099,18.09490982,20.10746171,8.95858085,6.782221408,15.17345101,67.30100879
