Time (min),clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
1090.858319,0.332980193,7.74394799,86.9768083403,77.2845836047,27.3559680063,52.3221098136,36.8758520294,4.0626164964,24.3658127755,0.0341889538,38.1005237007,16.5416542633,52.2422696453,6.922925209,84.7079003234
1090.904042,0.273182825,7.4555416061,87.2961569771,77.7684271637,27.9130976093,52.9332993869,37.451004966,4.2791329108,24.862832244,0.0180939447,38.6518385929,16.9640363927,52.8616554555,7.2125789936,84.3943509604
1090.949765,0.2192374861,7.1720957989,87.6125760779,78.2477470767,28.4745188388,53.5448135899,38.02855244,4.5020579103,25.3666041822,0.0069959732,39.2054966037,17.3914064018,53.4816040605,7.5082265004,84.0781477203
1090.995488,0.1711644988,6.8936438745,87.9260665734,78.7225382575,29.0401627049,54.156565679,38.6084144523,4.7314422217,25.8771564538,0.0009471026,39.7614487225,17.8237385901,54.1020255246,7.8098635091,83.7593069873
1091.04121,0.1289841855,6.6202190454,88.2366295497,79.1927970305,29.6099591212,54.7684690924,39.1905104054,4.9673356428,26.3945147216,0,40.31964557,18.2610068488,54.7228298261,8.1174852051,83.4378452288
1091.086132,0.093300818,6.3565105448,88.5389034733,79.6504038884,30.173752006,55.369719902,39.7645095807,5.2054843649,26.9094635502,0.004089473,40.8702048492,18.6953980243,55.3330476585,8.4255425411,83.1194766657
1091.131055,0.0633432202,6.0977175538,88.8383532019,80.1036322639,30.7414163914,55.9709516371,40.3405111288,5.4500091548,27.4310248873,0.0132058633,41.4228356613,19.1345011446,55.9434626762,8.7393654663,82.7986098476
1091.175977,0.0391299852,5.8438710265,89.134979356,80.5524820828,31.3128830526,56.5720828223,40.9184387486,5.7009545147,27.9592166428,0.0274006309,41.9774902852,19.5782889588,56.5539894735,9.0589473531,82.475260603
1091.220899,0.0206792736,5.5950017289,89.4287822847,80.9969542731,31.8880819034,57.1730322095,41.4982159759,5.9583642035,28.4940542551,0.0467261409,42.5341209079,20.0267334002,57.1645427021,9.3842808605,82.1494449276
1091.265122,0.0081618812,5.3548963299,89.7152555942,81.4302355771,32.4579063542,57.7643736846,42.0707027802,6.2181241434,29.0270731838,0.0708134219,43.0839726637,20.472719801,57.7655375658,9.7101619941,81.8263059005
