Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri
0.1256045894,,,,,,,48.8888888889,30.8823529412,,,,,,,,
0.1259031929,,,92.5531914894,,,45.2380952381,50,,,,,,,,,
0.1265601207,,,93.6170212766,,,,,,,,,,,,,32.0754716981
0.1274200989,,,,,,46.4285714286,,,,,,,,,,
0.1276231493,,,,,,,48.8888888889,,,,,,,,,
0.1277306465,,,92.5531914894,,,,,,,,,,,,,
0.1281367473,,,,39,,,,,,,,,,10,,
0.1298567037,,,,,,47.619047619,,,,,,,,,,
0.1300597541,,,,,,,,,,,,,,0,,
0.1313736096,,,,,,,,,,64.7058823529,,,,,,
0.1319827608,,,,,,,50,32.3529411765,,,,,,,,
0.1322933085,,,,,,,,,,,40,,,,,
0.1326994093,,,,38,,,,,,,,,,,,
0.1327949624,,,,,,,,,4.6153846154,,,,47.0588235294,,,
0.1345149188,,,,,,48.8095238095,,,,,,,,,,33.9622641509
0.1348254664,,88.8888888889,,,,,,30.8823529412,,,,,,,,
0.1368559704,,,,,,,,,,58.8235294118,,,,,,
0.1369515236,,,,37,,47.619047619,,,,,,,,,,
0.1373576244,,,,,,,,,6.1538461538,,,,,,,
0.1375009541,,,,,,,51.1111111111,,,,,,,,,
0.137668172,,,,,18.8405797101,,,,,,,,,,,32.0754716981
0.1378712224,,,91.4893617021,,,,50,,,,,,,,,
0.1383728764,,,92.5531914894,,,,51.1111111111,32.3529411765,,,,,,,,
0.1388745303,,,,,,,,,,64.7058823529,,,,,,
0.139185078,,,,,,48.8095238095,,,,,,,,,,
0.1399972796,,,91.4893617021,,,,,,,,,,,,,
0.1404989335,,,,,,,51.1111111111,,,,,,,,,
0.1406542074,,,92.5531914894,,,,,,,,,,,,,
0.141215582,,,,36,,,,,,,,,,,,
0.1418247332,,,,,,50,,,,,,,,,,
0.1423263871,,,91.4893617021,,,,51.1111111111,,,,,,,,,33.9622641509
0.1429355383,,,,,,,52.2222222222,,,,,,,,,
0.1433416391,,,,,,48.8095238095,,,,,,,,,,
0.1437477399,,,92.5531914894,,,,,,,,,,,,,
0.1437477399,,,91.4893617021,,,,,,,,,,,,,
0.1440463435,,,,,,50,51.1111111111,33.8235294118,,,,10,,,,
0.144762992,,,,,,,,,,,,,,,5.2631578947,
0.1452646459,,,,35,,,,,,,,,,,,
0.1456707467,,,,,,,52.2222222222,,,,,,,,,
0.1456707467,,,,,,,51.1111111111,,,,,,,,,
0.1459812944,,,,,20.2898550725,,,,,,,,,,,
0.146375451,,,,,,50,,,,,,,,,,
0.1479043011,,,,,,,52.2222222222,,,,,,,,,
0.1481073515,,,,,,,,,,,,,,,3.5087719298,
0.1485134523,,,,,,,,,7.6923076923,,,,52.9411764706,,,
0.1489195531,,,,,,,,,,58.8235294118,,,,,,
0.1495287043,,,,,,,,,,,,,,10,,
0.1497198106,,,,34,,,,,,,,,,,,
0.1501259114,,,,,,,,,,,,,,,,35.8490566038
0.1511411634,,,,,,51.1904761905,,,,,,,,0,,
0.1524072424,,,91.4893617021,,,,,,,,,,,,,
0.1527655666,,,,,18.8405797101,,,,,,,,,,,
0.1530761143,,,,,,,,,,,,5,,,,
0.1534822151,,,,,,52.380952381,,,,,,,,,,
0.1536852655,,,,,,,,,,64.7058823529,,,,,,
0.153983869,,,,33,,,53.3333333333,,,,,,,,,
0.1540794221,,,90.4255319149,,20.2898550725,51.1904761905,,,,,,,47.0588235294,,,
0.1555007749,,,91.4893617021,,,52.380952381,,,,,,,,,,
0.1562174234,,,90.4255319149,,,51.1904761905,,35.2941176471,,,,,,,,
0.1575312789,,,,,,,,,,,,,,,,37.7358490566
0.1578418266,,,,,,52.380952381,,,,,,,,,,
0.1580329329,,,,,,,,,6.1538461538,,,,,,,
0.1582359833,,,,32,,,52.2222222222,,,,,,,,,35.8490566038
0.1587495814,,,,,,,54.4444444444,,7.6923076923,,,,,,,
0.1602664873,,,,,,,53.3333333333,,,,,,,,,
0.160577035,,,,,,,54.4444444444,,,,,,,,,
0.1622014382,,,,,,53.5714285714,53.3333333333,,,,,,,,,
0.1625000417,,,,31,21.7391304348,,,,,,,,,,,33.9622641509
0.1627986452,,,,,,,54.4444444444,36.7647058824,,,,,,,,
0.163204746,,,,,,,,,,,,,52.9411764706,,,
0.1643274953,,,89.3617021277,,,,,,,,,,,,,
0.1650321997,,,90.4255319149,,,,,,,,,,,,,35.8490566038
0.1652352501,,,,,,,,35.2941176471,,,,,,,,
0.1656413509,,,,,,,54.4444444444,,,,,,,,,
0.1663460552,,83.3333333333,89.3617021277,30,,,,,,,,,,,5.2631578947,
0.1670627037,,,90.4255319149,,,,,,,,,,,,,
0.1679704584,,,,,,,,,,70.5882352941,,,,,,
0.1683765592,,,89.3617021277,,,,,36.7647058824,,,,,,,,
0.1690932077,,,,,,54.7619047619,,,,,,,,,,
0.1697023589,,,,,,53.5714285714,,,9.2307692308,,,,,,,
0.1700009624,,,,,,,55.5555555556,,,,,,,,,
0.1705026163,,,,,23.1884057971,,,,,,,,,,,
0.1709087171,,,,29,,,,,,,,,,,,
0.1711117675,,,,,,54.7619047619,,,,,,,,10,,
0.171828416,,,,,,,,,,64.7058823529,,,,0,,
0.171995634,,,,,,,,,,,,,,,,37.7358490566
0.173345322,,,,,,55.9523809524,,,,,,,,,,
0.1739544732,,88.8888888889,,,,,,,,,,,,,,
0.1744322388,,,,,,,,38.2352941176,,,,,,,,
0.1745636244,,,,,21.7391304348,,,,,,,,,,,
0.1747666748,,,,,,55.9523809524,,,,,,,,,,
0.1750652783,,,,,,,,,,70.5882352941,,,,,,
0.1751727756,,,,28,,,,,,,,,,,,
0.175375826,,,,,,54.7619047619,,,,,,,,,,
0.1757819268,,,,,,,55.5555555556,,,,,,,,,
0.1764866311,,,,,,,56.6666666667,,,,,,,,,
0.1769643968,,,89.3617021277,,,,,,,,,,,,,
0.17740633,,,,,,55.9523809524,,,,,,,,,,
0.1777049335,,,,,,,,,,,,,58.8235294118,,,
0.1784096379,,,,,23.1884057971,,,,,,,,,,,
0.1791262863,,,88.2978723404,,,,,,,,,,,,,39.6226415094
0.1794965547,,,,27,,,,,,,,,,,,
0.1798309907,,,89.3617021277,,,,,,10.7692307692,,,,,,,
0.1804401419,,,,,,,55.5555555556,,,,,,,,,
0.1811567903,,,,,,,57.7777777778,,,,,,,,,
0.1812523435,,,88.2978723404,,,,,,,,,,,,,
0.1814553939,,,,,,,,,9.2307692308,76.4705882353,,,,,,
0.1818614947,,,,,,57.1428571429,56.6666666667,,,,,,52.9411764706,,,
0.1820287127,,,,,,,,,,70.5882352941,,,,,,
0.1824706459,,,89.3617021277,,,,,,,,,,,,,
0.1830797971,,,88.2978723404,,,,,,,,,,,,,
0.1834858979,,,,26,,,57.7777777778,,,,,,,,,
0.1839875518,,,,,,55.9523809524,56.6666666667,,,,,,,,,
0.1852058542,,,,,,,,,,,,,,,,37.7358490566
0.1858150054,,,,,,,57.7777777778,39.7058823529,,,,,,,,
0.1859105586,,,,,,,,,,,,,,,,39.6226415094
0.186113609,,,,,24.6376811594,57.1428571429,,,,,,,,,,
0.1865197098,,,,,,,,,,,,,,,7.0175438596,
0.1879410626,,,,25,,58.3333333333,57.7777777778,,,76.4705882353,,,,,,
0.188657711,,,,,,57.1428571429,,,,,,,,,,
0.1895654658,,,,,,,,,10.7692307692,,,,,,,
0.1899715666,,,,,,58.3333333333,57.7777777778,,,,,,,,,
0.1908793213,,,,,,,,41.1764705882,,,,,,,,
0.1915959698,,,,,,,,,,,,,58.8235294118,10,,
0.1920020706,,,87.2340425532,,,,,,,,,,,,,
0.1923006741,,,,24,,59.5238095238,58.8888888889,,,,,,,,,
0.1926112218,,,88.2978723404,,,,,,,,,,,,,
0.1930173226,,,,,,57.1428571429,,39.7058823529,,70.5882352941,,,,,,
0.1931128757,,,,,,,,,,,,,,,,41.5094339623
0.1934831441,,,,,26.0869565217,,,,,,,,,,,
0.1937220269,,,,,,58.3333333333,,,,,,,,,,
0.1938175801,,,,,,,,,,,,,,0,,
0.1940206305,,,87.2340425532,,24.6376811594,,,,,,,,,,,
0.1942236809,,,,,,,,,,,,,,,5.2631578947,
0.1946297817,,,,,,,,,,76.4705882353,,,,,,
0.1962541849,,,,23,,59.5238095238,,,,,,,,,,
0.1966602857,,,,,,,,41.1764705882,,,,,,,,39.6226415094
0.1976755377,,,,,,,60,,,,,,,,,
0.1981771916,,83.3333333333,,,,,58.8888888889,,,,,,,,,
0.1986907897,,88.8888888889,,,,,60,,12.3076923077,,,,,,,
0.1998015948,,,,,,,,,,,,,,,,41.5094339623
0.2001121425,,,86.170212766,,26.0869565217,60.7142857143,,,,,,,,,,
0.2007212937,,,,22,,,60,,,,,,,,,
0.2013304449,,,87.2340425532,,,,,,,,,,,,,
0.2017246016,,,,,,60.7142857143,,,,,,,,,,
0.2020351492,,,86.170212766,,,,,,,,,,,,,
0.2022381996,,,,,,59.5238095238,,,,,,,,,,
0.2027398536,,,,,,,,,,70.5882352941,,,,,,
0.2036595525,,,,,,,61.1111111111,,,,,,,,,
