Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,
1.4666, , , ,28, , , , , , , , , , , , ,
1.4683, , , , , ,46, , , , , , , , , , ,
1.4717, , , , , , ,50, , , , , , , , , ,
1.4776, , , , , , ,51, , , , , , , , , ,
1.4816, , ,85, , , , , , , , , , , , , ,
1.4853, , , , , ,47, , , , , , , , , , ,
1.4878, , , , , , , , , , , , ,10, , , ,
1.4937, , , , ,20, , , , , , , , , , , ,
1.4997, , ,84, , , , , , , , , , , , ,21,
1.5028, , , ,27, , , , , , , , , , , , ,
1.5056, , ,85, , , , , ,42, , , , , , , ,
1.5107, , , , , , ,50, , , , , , , , , ,
1.5167, , , , , , ,52, , , , , , , , , ,
1.5175, , ,84, , , , , , , , , , , , , ,
1.5192, , , , , , , , ,41,13, , , , , , ,
1.5226, , , , , ,48,51, , , , , ,9, , , ,
1.524, , , , , , , , , ,12, , , , , , ,
1.5277, , ,85, , , , , , , , , , , , , ,
1.5328, , ,84, , , , , , , , , , , , , ,
1.5362, , , ,26, , ,52, , , , , , , , , ,
1.5404, , , , , ,47,51, , , , , , , , , ,
1.5506, , , , , , , , , , , , , , , ,20,
1.5557, , , , , , ,52,27, , , , , , , , ,
1.5565, , , , , , , , , , , , , , , ,21,
1.5582, , , , ,21,48, , , , , , , , , , ,
1.5616, , , , , , , , , , , , , , ,36, ,
1.5735, , , ,25, ,49,52, , ,13, , , , , , ,
1.5795, , , , , ,48, , , , , , , , , , ,
1.5871, , , , , , , , ,42, , , , , , , ,
1.5905, , , , , ,49,52, , , , , , , , , ,
1.5981, , , , , , , ,28, , , , , , , , ,
1.6041, , , , , , , , , , , , ,10,1, , ,
1.6075, , ,83, , , , , , , , , , , , , ,
1.61, , , ,24, ,50,53, , , , , , , , , ,
1.6126, , ,84, , , , , , , , , , , , , ,
1.616, , , , , ,48, ,27, ,12, , , , , , ,
1.6168, , , , , , , , , , , , , , , ,22,
1.6199, , , , ,22, , , , , , , , , , , ,
1.6219, , , , , ,49, , , , , , , , , , ,
1.6227, , , , , , , , , , , , , ,0, , ,
1.6244, , ,83, ,21, , , , , , , , , , , ,
1.6261, , , , , , , , , , , , , , ,35, ,
1.6295, , , , , , , , , ,13, , , , , , ,
1.6431, , , ,23, ,50, , , , , , , , , , ,
1.6465, , , , , , , ,28, , , , , , , ,21,
