Time (min),CLK,clk,CRY,cry,CWO,cwo,CYC/CLK,pdp1,PDP1,per,PER,PER/TIM-p,tim,TIM,VRI,vri,clk_data,CLK_data,CLK/CYC_data,per_data,PER_data,tim_data,TIM_data,PER/TIM_data,cwo_data,CWO_data,pdp1_data,PDP1_data,vri_data,VRI_data,CRY_data
0.3242,,,,,,,37.7777777778,,,,,,,,,,7.1690529536,22.7833856982,71.9728879268,54.7428229407,9.3586661475,29.2947706777,16.8205998384,0.0058090606,9.6168790471,4.1947237375,18.6296226699,4.0094460034,29.0869745075,0.2414327501,94.8286210923
0.3268,,,,60,,,,,1.5384615385,,,,,,,,6.8164777165,22.194073828,72.5321243078,55.5644965163,9.8050227047,29.982666274,17.3693318851,0.0183060756,9.9620607799,3.9631760246,19.177798111,4.2847712685,29.7735881469,0.3139041211,94.574665041
0.3302,,,,,,,36.6666666667,,,,,,,,,,6.472082305,21.6105427739,73.0869746459,56.3821048064,10.2616137307,30.6764136518,17.92630994,0.0376232506,10.3153133401,3.7373930214,19.7326684006,4.5692596637,30.4663447566,0.395965192,94.3152198985
0.3361,,,,,8.6956521739,,37.7777777778,,,,,,,,,,6.1268028627,21.0170898139,73.6524632662,57.2176984921,10.7413671196,31.3951802223,18.5071007805,0.0647154769,10.6868102579,3.5114725404,20.3096896095,4.8711096073,31.184408148,0.490305412,94.0429614615
0.348,,,,,,,36.6666666667,,,,,,,,,,5.7902902217,20.4299430448,74.2132257736,58.0484835137,11.2318164501,32.1198160592,19.0964097677,0.0992933512,11.0670838358,3.2917723622,20.8936187532,5.1826227418,31.9086713414,0.594838535,93.764983694
0.3565,,,,,,32.1428571429,,,,,,,,,,,5.4626101059,19.8492037968,74.7692174099,58.8742146525,11.7329004848,32.8501594835,19.6941347139,0.1415024577,11.4562647245,3.078363263,21.4843726422,5.503791724,32.63898396,0.709597937,93.4813244184
0.3607,,,96.8085106383,,10.1449275362,,36.6666666667,,,35.2941176471,,,,,,20.7547169811,5.1438273747,19.2749726477,75.3203960152,59.6946575305,12.2445542274,33.5860455916,20.3001679381,0.1914883808,11.8544841504,2.8713170753,22.0818666133,5.8346079056,33.3751918881,0.8346160428,93.1920212349
0.3624,,,,59,,,,,,,,,,,,,4.837143694,18.7131458568,75.8611344928,60.5012462717,12.7612916101,34.319664651,20.9080458753,0.2487617827,12.2576416961,2.6727359562,22.679775241,6.1715152173,34.1094870389,0.968481911,92.9001692553
0.3666,,,,,,,37.7777777778,,,41.1764705882,,,,,,,4.5393011865,18.1578870032,76.3970832107,61.3022307708,13.2882441975,35.0583819586,21.5238387294,0.3139383536,12.6699096555,2.4805335941,23.2841175416,6.5178519665,34.8492459839,1.1124570493,92.602861175
0.3734,,,,,,,,,,,,,35.2941176471,,,,4.2503608198,17.6092904551,76.9282083869,62.0974160779,13.8253375183,35.8020283872,22.1474287043,0.3871599615,13.0914158357,2.2947852922,23.8948076542,6.8736056701,35.5943089129,1.2665697515,92.3001327062
0.3768,,,95.7446808511,,,,,,,,,,,,,,3.970383994,17.0674501098,77.4544784113,62.8866173787,14.3724931071,36.5504320848,22.7786928372,0.4685690318,13.522287908,2.1155675613,24.511758428,7.2387626211,36.3445127222,1.430847271,91.9920194495
0.3819,,,96.8085106383,,,33.3333333333,,22.0588235294,,,,,,,,22.641509434,3.719052232,16.5715743183,77.9376807803,63.6122773158,14.8883108332,37.2478802772,23.3702619241,0.5514200083,13.9299360969,1.9554286049,25.0888395185,7.585438537,37.0439783326,1.5921350177,91.7017949194
0.3878,,,95.7446808511,,,,,,,,,,,,,,3.4755130862,16.0816500144,78.4166693135,64.3325206839,15.4126266123,37.9491207964,23.9682046247,0.641533193,14.3458334335,1.8010259873,25.6711469778,7.9401588306,37.747579009,1.7621895093,91.407007088
0.3964,,,,58,,,,,,,,,,,,,3.23981412,15.5977496441,78.8914240752,65.0472240011,15.9453693402,38.6540109924,24.5724137476,0.7390214673,14.7700804366,1.6524252029,26.2586086718,8.3029089791,38.455177878,1.9410296181,91.1076839473
0.3989,,,96.8085106383,,,32.1428571429,,,,,,,,,,,3.012002032,15.1199450889,79.3619266812,65.7562709138,16.4864656418,39.3624064895,25.1827788386,0.8439974336,15.2027770835,1.5096926515,26.8511515449,8.6736734805,39.1666359664,2.1286734141,90.8038534336
0.4041,,,95.7446808511,,,33.3333333333,,,,,,,,,,,2.803632569,14.673268707,79.8034383529,66.4222450467,17.0063738977,40.0361734739,25.7662082385,0.9503846468,15.6203063194,1.3800305984,27.4167532517,9.0320625181,39.8436330719,2.3144522912,90.5120754605
0.4159,,,,,,,38.8888888889,,,,,,29.4117647059,,,,2.6024129675,14.232179889,80.2411106226,67.0829643695,17.5336340815,40.7128262017,26.3549554911,1.0636790734,16.0455816348,1.2557476834,27.9867794674,9.397604489,40.523841441,2.5081509737,90.2163061608
0.4201,,,95.7446808511,,,,,,,,,,,,,,2.408382143,13.7967382854,80.6749316996,67.7383472789,18.0681769683,41.3922383726,26.9489203663,1.1839753848,16.478685774,1.1369036663,28.5611659807,9.7702829935,41.2071381635,2.7097822415,89.9165691944
0.4244,,,,,,32.1428571429,,,,,,,,,,,2.2215783626,13.3670027938,81.1048908793,68.3883175546,18.6099310624,42.0742825508,27.5480000235,1.3113679739,16.9197004997,1.0235593634,29.1398480272,10.15008049,41.8933988338,2.9193580421,89.6128882489
0.4295,,,,,,33.3333333333,,,,,,,,,0,,2.0491140855,12.9599575839,81.5139307853,69.0070116143,19.1366285986,42.7312747009,28.1277185158,1.4404025892,17.3505079067,0.9199998251,29.6992543897,10.5212941404,42.5547526583,3.1279942652,89.3177234979
0.4328,,,,57,,,,,,,,10,,,,,1.8833759233,12.5582744145,81.9193966977,69.6205953592,19.6698348354,43.3904588279,28.7119584039,1.5761438332,17.7887477839,0.8216197728,30.2624989747,10.8990317521,43.2186086588,3.3439686082,89.0189682219
0.4527,,,,,,,,,,47.0588235294,,,,,,,1.7243973865,12.162004374,82.3212819841,70.2290144366,20.209481096,44.0517198491,29.3006241889,1.7186738348,18.2344894686,0.7284756463,30.8295224536,11.283275049,43.8848533733,3.567289244,88.7166434427
0.4609,,,,,,33.3333333333,,,,,,,,,,,1.5722111208,11.7711978925,82.7195808267,70.8322184663,20.7554968243,44.714942046,29.8936185776,1.8680742589,18.6878011131,0.6406249419,31.4002652211,11.6740048578,44.5533722325,3.7979636327,88.4107701821
0.4634,,,,,,,,,0,,,,,,,,1.4314312095,11.3982466266,83.1016129328,71.4109566048,21.2898971111,45.3585291886,30.47151373,2.0192737209,19.1337614745,0.5607032786,31.9560826524,12.0582882967,45.2023840756,4.0282055018,88.1114043869
0.4651,,,,,11.5942028986,,,,,,,,,,,,1.2970721424,11.0305045118,83.4802778876,71.9847285897,21.8301277891,46.0037380717,31.0532798972,2.1770564319,19.586933327,0.48584792,32.5152717831,12.4486082825,45.8533120467,4.2653458978,87.8087542844
0.4668,,,,,,,,,,,,,,,,24.5283018868,1.1691624575,10.6680163329,83.855572627,72.5534989284,22.3761204947,46.6504623777,31.6388257136,2.3414948588,20.0473745986,0.4161136456,33.0777769693,12.8449446625,46.5060499029,4.5093893383,87.5028391747
0.4689,,,,56,,,,,1.5384615385,,,,,,,,1.0477309091,10.3108267807,84.2274946687,73.1172352097,22.9278049068,47.2985953803,32.2280582911,2.5126608181,20.5151418966,0.3515556882,33.6435421988,13.2472763869,47.1604907107,4.7603395382,87.1936783298
0.471,,,,,,,40,,,,,,,,,,0.9358072865,9.9683598592,84.5861875273,73.6609692499,23.4700680853,47.9305709717,32.8049151399,2.685756163,20.9774314081,0.2937554193,34.1971876805,13.6445370105,47.7988866336,5.0111834583,86.8897234352
0.477,,,,,,,38.8888888889,,,,,,,,,,0.8300710149,9.6309931376,84.9416833859,74.1998837851,24.0175862432,48.5636804054,33.3850877948,2.8653547645,21.4467600154,0.2409633551,34.7538145261,14.0474333327,48.4386936562,5.2685730362,86.5827310513
0.4855,,,95.7446808511,,,34.5238095238,40,,,,,,,,,,0.730548038,9.2987666964,85.29398143,74.7339567996,24.5702905469,49.1978246756,33.9684887518,3.0515210996,21.9231753202,0.193233219,35.3133696711,14.4559433245,49.0798116184,5.5325095797,86.2727192008
0.499,,,,,,,38.8888888889,,,,,,,,,,0.6372632187,8.971720616,85.6430813107,75.263168802,25.1281110671,49.8329046859,34.5550294189,3.2443185304,22.4067232652,0.1506190364,35.8757999594,14.8700442225,49.7221399143,5.8029937128,85.959705934
0.5041,,,,55,,,41.1111111111,,,,,,,,,,0.5521655756,8.657210802,85.9810919517,75.7755412357,25.678021632,50.454239527,35.131075562,3.4391630591,22.8861217013,0.1139757047,36.4280668759,15.2800327755,50.3508204518,6.0736033845,85.6509841576
