Time (min),per_ANIMO,per_ODE,
1589.9006,64.7059, ,
1590.2145,58.8235, ,
1592.4115, ,64.3325,
1594.0436, ,65.0472,
1594.9224,64.7059, ,
1597.6216,58.8235, ,
1597.7472, ,65.7563,
1599.8187,64.7059, ,
1601.4507, ,66.4222,
1604.15, ,67.083,
1607.728, ,67.7383,
1609.925,70.5882, ,
1611.0549, ,68.3883,
1611.3688,64.7059, ,
1614.8213,70.5882,69.007,
1618.0227,64.7059, ,
1618.5248, ,69.6206,
1619.4664,70.5882, ,
1619.592, ,70.229,
1622.2284, ,70.8322,
1622.5423,64.7059, ,
1625.4298, ,71.411,
1627.0619, ,71.9847,
1628.9451,70.5882, ,
1629.1962, ,72.5535,
1630.2633,64.7059,73.1172,
1632.8997, ,73.661,
1633.4647, ,74.1999,
1633.5275,70.5882, ,
1635.9128,64.7059, ,
1636.6661, ,74.734,
1637.7332, ,75.2632,
1638.0471,70.5882, ,
1639.8047, ,75.7755,
1640.8718, ,76.2832,
1641.6251,64.7059, ,
1642.6295,70.5882, ,
1643.0061, ,76.7863,
1646.2075, ,77.2846,
1647.2746, ,77.7684,
1651.4804,76.4706, ,
1652.7986,70.5882, ,
1653.6774, ,78.2477,
1655.8117,76.4706, ,
1656.3766, ,78.7225,
1657.5065,70.5882, ,
1657.9459,64.7059, ,
1659.578, ,79.1928,
1660.143,70.5882, ,
1663.2816,64.7059, ,
1664.3487, ,79.6504,
1664.4115,70.5882, ,
1666.9852, ,80.1036,
1667.5501, ,80.5525,
1668.0523, ,80.997,
1669.1194, ,81.4302,
1671.2537, ,81.8593,
1671.8187, ,82.2841,
1676.0872, ,82.7047,
1677.0915,76.4706, ,
1678.0331,70.5882, ,
1678.2214, ,83.1153,
1681.1718,76.4706, ,
1682.6783,70.5882, ,
1685.4403,76.4706, ,
1687.449,70.5882, ,
1689.3949, ,83.5217,
1689.5205,76.4706, ,
1691.9686,70.5882, ,
1693.0985, ,83.9241,
1695.2328, ,84.3224,
1696.4255,64.7059, ,
1697.367, ,84.7117,
1697.6181,70.5882, ,
1698.9991, ,85.097,
1700.5684, ,85.4784,
1700.7568,64.7059, ,
1701.1962,70.5882, ,
1702.1378, ,85.8558,
1704.837, ,86.2251,
1704.9625,64.7059, ,
1705.4019,70.5882, ,
