Time (min),TIM_ANIMO,TIM_ODE,
1329.2066, ,0.0174,
1331.9058, ,0.0041,
1333.4752, ,0,
1337.2415, ,0.0049,
1339.3758, ,0.0187,
1340.4429, ,0.0413,
1343.0793, ,0.0728,
1346.2807, ,0.1123,
1347.9128, ,0.1604,
1349.4821, ,0.2171,
1352.1186, ,0.2823,
1353.1857, ,0.3551,
1353.7507, ,0.4361,
1355.32, ,0.5255,
1359.5885, ,0.6233,
1362.2877, ,0.7282,
1363.3548, ,0.8413,
1364.9241, ,0.9627,
1365.4891, ,1.0923,
1368,10, ,
1368.1255, ,1.229,
1368.4394,0, ,
1375.0305, ,1.3738,
1376.0976, ,1.5268,
1378.7969, ,1.688,
1379.864, ,1.8565,
1380.9311, ,2.0332,
1384.1325, ,2.218,
1387.3339, ,2.411,
1391.0375, ,2.6119,
1394.7411, ,2.821,
1395.8082, ,3.0383,
1396.8753, ,3.2639,
1398.5074, ,3.4982,
1401.7088, ,3.7408,
1404.9102, ,3.9918,
1407.5466, ,4.2511,
1409.6809, ,4.5206,
1411.8152, ,4.7985,
1415.5187, ,4.7205,
1422.4865, ,4.9494,
1426.1901, ,5.1839,
1429.9564, ,5.4158,
1437.3636, ,5.6529,
1440.565, ,5.8953,
1449.102, ,6.143,
1449.918,10, ,
1450.7341,0, ,
1454.9398, ,6.2789,
1457.0741, ,6.4637,
1460.8405, ,6.8033,
1462.9747, ,7.1518,
1465.6112, ,7.5092,
1468.8126, ,7.5915,
1470.4446, ,7.6743,
1471.5118, ,7.7576,
1477.2241,10, ,
1478.5423,0, ,
1478.9189, ,7.8413,
1480.551, ,7.9255,
1483.7524, ,8.0101,
1489.9041, ,8.0952,
1491.7245, ,8.1807,
1499.6966, ,8.2825,
1501.6425,10, ,
1501.8309, ,8.3849,
1502.3958, ,8.488,
1502.7724,0, ,
1503.9651, ,8.5917,
1507.7315, ,8.9779,
1511.435, ,9.3728,
1515.1386, ,9.7763,
1521.0392, ,10.1885,
1521.5414, ,10.6025,
1522.4202,10, ,
1523.1735, ,11.0249,
1523.3618,0, ,
1524.7428, ,11.4555,
1527.9442, ,11.8945,
1533.2799, ,12.3443,
1535.4141, ,12.8024,
1536.9834, ,13.2688,
1540.1848, ,13.7434,
1545.5205, ,14.2321,
1546.3365, ,14.7292,
1547.6548, ,15.2346,
1550.354, ,15.7482,
1553.5554, ,16.2802,
1560.5859,10, ,
1560.9625, ,16.8206,
1562.5946, ,17.3693,
1563.0968, ,17.9263,
1563.4734,0, ,
1570.5667, ,18.5071,
1572.701, ,19.0964,
1577.4717, ,19.6941,
1577.9738,10, ,
1578.0366, ,20.3002,
1580.8614,0, ,
1581.7402, ,20.908,
1584.4394, ,21.5238,
1586.0087, ,22.1474,
1587.6408, ,22.7787,
1588.7079, ,23.3703,
1592.4115, ,23.9682,
1593.6042,10, ,
1594.0436, ,24.5724,
1597.1822,0, ,
1597.7472, ,25.1828,
1601.4507, ,25.7662,
1604.15, ,26.355,
1606.9747,10, ,
1607.728, ,26.9489,
1611.0549, ,27.548,
1611.1177,0, ,
1614.8213, ,28.1277,
1618.5248, ,28.712,
1619.592, ,29.3006,
1620.5336,10, ,
1621.2868,0, ,
1622.2284, ,29.8936,
1625.4298, ,30.4715,
1627.0619, ,31.0533,
1629.1962, ,31.6388,
1630.2633, ,32.2281,
1632.8997, ,32.8049,
1633.3391,10, ,
1633.4647, ,33.3851,
1636.6661, ,33.9685,
1637.7332, ,34.555,
1639.177,0, ,
1639.8047, ,35.1311,
1640.8718, ,35.71,
1643.0061, ,36.2916,
1645.517,10, ,
1645.9564,0, ,
1646.2075, ,36.8759,
1647.2746, ,37.451,
1653.6774, ,38.0286,
1656.3766, ,38.6084,
1658.8248,10, ,
1659.578, ,39.1905,
1660.5824,0, ,
1664.3487, ,39.7645,
1666.9852, ,40.3405,
1667.5501, ,40.9184,
1668.0523, ,41.4982,
1669.1194, ,42.0707,
1670.9398,10, ,
1671.2537, ,42.6448,
1671.8187, ,43.2205,
1676.0872, ,43.7977,
1677.2799,0, ,
1678.2214, ,44.3683,
1683.306,10, ,
1686.8213,0, ,
1689.3949, ,44.9402,
1693.0985, ,45.5134,
1695.0445,10, ,
1695.2328, ,46.0877,
1696.9276,0, ,
1697.367, ,46.6559,
1698.9991, ,47.2252,
1700.5684, ,47.7954,
1702.1378, ,48.3665,
1704.837, ,48.9321,
1706.1552,10, ,
1708.6661,0, ,
1710.1726, ,49.4984,
1712.3069, ,50.0654,
1715.5083, ,50.633,
1716.0105, ,51.1956,
1717.2031,10, ,
1719.7768, ,51.7586,
1721.5344,0, ,
1722.9154, ,52.3221,
1723.857, ,52.8859,
1726.6818, ,53.4453,
1727.3095,10, ,
1730.3854, ,54.0049,
1734.1517, ,54.5647,
1735.8466,0, ,
1736.7881, ,55.1247,
1737.4786,10, ,
1737.8553, ,55.6808,
1739.9895, ,56.2369,
1741.3078, ,56.7931,
1744.7602, ,57.3491,
1746.3923, ,57.9022,
1747.585,20, ,
1749.5937, ,58.455,
1752.2302, ,59.0077,
1753.6112,10, ,
1757.0636, ,59.56,
1758.0052,20, ,
1758.1308, ,60.1106,
1758.633, ,60.6607,
1761.3322, ,61.2104,
1763.4664, ,61.7595,
1767.17, ,62.3087,
1769.0532,30, ,
1773.8867,20, ,
1776.7742, ,62.8572,
1779.4106, ,63.405,
1780.0384,30, ,
1782.612, ,63.9521,
1784.2441, ,64.5019,
1784.7463, ,65.0507,
1786.8806, ,65.5987,
1790.082, ,66.1456,
1790.2703,40, ,
1793.2833, ,66.6995,
1796.4847, ,67.2522,
1797.4891,30, ,
1799.435,30, ,
1799.6861, ,67.8037,
