Time (min),cwo_ANIMO,cwo_ODE,
443.6757,91.6667, ,
444.0523,92.8571, ,
445.5588, ,94.7483,
446.3749,91.6667, ,
449.8901,90.4762, ,
450.204, ,94.2781,
451.6478,90.4762, ,
452.0872,91.6667, ,
452.5266,90.4762, ,
452.8405, ,93.7909,
452.966,91.6667, ,
453.4054,89.2857, ,
453.7193,90.4762, ,
457.0462,89.2857, ,
460.3104, ,93.2869,
460.4359,88.0952, ,
460.8753,86.9048, ,
461.3147,88.0952, ,
461.7541,86.9048, ,
462.1308,88.0952, ,
462.5702,86.9048, ,
463.0096,88.0952, ,
463.449,86.9048, ,
463.8884,88.0952, ,
464.3278,85.7143, ,
464.7672,86.9048, ,
465.2066,85.7143, ,
465.646,86.9048, ,
466.0854,86.9048, ,
466.9643,86.9048, ,
467.8431,85.7143, ,
470.9817, ,92.7667,
472.0488,84.5238, ,
472.4882,83.3333, ,
472.7393,84.5238, ,
475.4385,83.3333, ,
475.8779,82.1429, ,
476.3173,83.3333, ,
476.7568,82.1429, ,
477.1334,83.3333, ,
477.5728,82.1429, ,
477.9494,83.3333, ,
478.075, ,92.157,
478.3888,82.1429, ,
478.8282,83.3333, ,
479.2677,82.1429, ,
479.456, ,91.5275,
480.3976,80.9524, ,
480.5231, ,90.8789,
483.4734,79.7619, ,
484.2895, ,90.2117,
487.7419,78.5714,89.4745,
488.1813,77.381, ,
488.558,78.5714, ,
488.9974,77.381, ,
489.4368,78.5714, ,
489.8762,77.381, ,
490.1273, ,88.7173,
490.3156,78.5714, ,
490.755,77.381, ,
491.1316,78.5714, ,
491.5711,77.381, ,
492.0105,77.381, ,
492.2616, ,87.9411,
492.4499,76.1905, ,
492.8893,77.381, ,
493.3287,76.1905, ,
493.7681,77.381, ,
493.8936, ,87.1465,
494.2075,76.1905, ,
495.4629, ,87.0645,
496.0279,75, ,
496.4673,73.8095, ,
496.9067,75, ,
497.2833,73.8095, ,
497.7228,75, ,
498.1622,73.8095, ,
498.6016,75, ,
498.7271, ,86.9823,
498.9782,73.8095, ,
499.4176,75, ,
499.857,73.8095, ,
500.2964,73.8095, ,
500.7358,72.619, ,
500.7986, ,86.9,
505.1927,71.4286, ,
505.5693,70.2381, ,
509.9006,67.8571, ,
510.2145,69.0476, ,
510.6539,67.8571, ,
