Time (min),CWO_ANIMO,CWO_ODE,
1209.3589, ,8.5145,
1212.3223, ,8.2066,
1217.0436, ,7.9034,
1217.4454, ,7.6097,
1218.7513, ,7.3206,
1220.007, ,7.0363,
1222.5686, ,6.7568,
1226.8379, ,6.4805,
1228.5455, ,6.2092,
1229.8012, ,5.9427,
1232.3628, ,5.6813,
1236.6321, ,5.4218,
1237.285, ,5.1676,
1238.3398, ,4.9186,
1240.4995, ,4.6749,
1243.0611, ,4.432,
1248.9878, ,4.1947,
1250.2937, ,3.9632,
1250.6955, ,3.7374,
1256.6725, ,3.5115,
1258.3802, ,3.2918,
1262.1975, ,3.0784,
1262.6495, ,2.8713,
1265.6129, ,2.6727,
1267.7726, ,2.4805,
1269.0283, ,2.2948,
1270.3342, ,2.1156,
1271.188, ,1.9554,
1274.1514, ,1.801,
1275.4573, ,1.6524,
1278.4207, ,1.5097,
1281.384, ,1.38,
1283.5438, ,1.2557,
1286.4067, ,1.1369,
1289.0687, ,1.0236,
1292.0824, ,0.92,
1295.0457, ,0.8216,
1295.8996, ,0.7285,
1298.0091, ,0.6406,
1300.5706, ,0.5607,
1301.8766, ,0.4858,
1303.5843, ,0.4161,
1304.4381, ,0.3516,
1306.5476, ,0.2938,
1306.9997, ,0.241,
1309.5613, ,0.1932,
1310.4151, ,0.1506,
1312.0726, ,0.114,
1312.9264, ,0.0823,
1314.6341, ,0.0557,
1317.1957, ,0.0342,
1318.0495, ,0.0181,
1323.1727, ,0.007,
1325.3324, ,0.0009,
1327.894, ,0,
1331.7112, ,0.0041,
1333.8208, ,0.0132,
1334.2728, ,0.0274,
1334.6746, ,0.0467,
1335.5284, ,0.0708,
1337.2362, ,0.1,
1337.6882, ,0.1343,
1341.1036, ,0.1737,
1342.8113, ,0.2178,
1351.7517, ,0.2669,
1354.715, ,0.3213,
1356.4228, ,0.3809,
1358.1304, ,0.4449,
1358.58,5.2632, ,
1359.4364, ,0.5141,
1360.692, ,0.5886,
1361.9477, ,0.6685,
1364.1075, ,0.7526,
1368.3767, ,0.8421,
1370.0844, ,0.9369,
1372.646, ,1.0371,
1373.0478, ,1.1417,
1376.0614, ,1.2517,
1378.5727, ,1.3671,
1379.3261, ,1.488,
1380.78,10.5263, ,
1381.5864, ,1.6133,
1384.5498, ,1.7441,
1387.5633, ,1.8804,
1389.6728, ,2.0223,
1390.5267, ,2.1688,
1392.2344, ,2.321,
1393.2892, ,2.4787,
1396.0516, ,2.6422,
1397.3575, ,2.8105,
1399.9191, ,2.9846,
1400.468,15.7895, ,
1402.0287, ,3.1644,
1405.8961, ,3.3501,
1406.75, ,3.5412,
1407.1518, ,3.7382,
1409.3115, ,3.9411,
1411.0192, ,4.15,
1413.9826, ,4.3651,
1417.72,21.0526, ,
1421.6673, ,4.5863,
1423.7768, ,4.8137,
1426.3383, ,5.0472,
1427.6442, ,5.2885,
1428.0461, ,5.5362,
1429.7538, ,5.7903,
1432.3154, ,6.0507,
1433.38,26.3158, ,
1434.8769, ,6.3217,
1437.4384, ,6.5994,
1440,26.3158,6.8838,
