Time (min),clk_ANIMO,CLK_ANIMO,cry_ANIMO,CRY_ANIMO,cwo_ANIMO,CWO_ANIMO,CYC/CLK_ANIMO,pdp1_ANIMO,PDP1_ANIMO,PER_ANIMO,per_ANIMO,PER/TIM-p_ANIMO,TIM_ANIMO,tim_ANIMO,VRI_ANIMO,vri_ANIMO
194.378,,,,,,,,,,66.6666666667,,,,,,
195.54,65.3846153846,,,,,,,,,,,,,,,
195.888,,,,,,,,,67.5675675676,,,,,,42.5,
196.76,,,,,,,,,,,,,65.3846153846,,,
197.04,,,,40.7407407407,,,,,,,,,,,,
197.398,,,,,,,94.2857142857,,,,,23.9436619718,,92.8571428571,,
198.32,,,,,,,,,68.9189189189,,,,,,,
199.16,,,,,,,,,,,,,,,43.75,
200.22,,53.8461538462,,,,,,,,,,,,,,
201.44,,,,,,,,,70.2702702703,,,,,,,
201.586,,,,,,,,,,,,25.3521126761,67.3076923077,,,100
202.89,,,,,,,,,,,,,,,45,
204.194,,,,,,,,,71.6216216216,,,,,,,
204.78,,,,,,,,100,,,,,,,,
205.52,69.2307692308,,,,,,,,,,,,,,,
205.96,,,,,,,,,,,,26.7605633803,,,46.25,
206.686,,,,,,,,,,,,,69.2307692308,,,
207.06,,,,,,,,,72.972972973,,,,,,,
207.22,,,,,93.3333333333,100,,,,72.2222222222,96.7741935484,,,,,
209.66,,,,,,,,,,,,,,,47.5,
209.9,,,,,,,,,74.3243243243,,,,,,,
210.226,,,,,,,91.4285714286,,,,,28.1690140845,,,,
212.06,,57.6923076923,,,,,,,,,,,71.1538461538,,,
212.92,,,,,,,,,75.6756756757,,,,,,48.75,
213.9,,,,37.037037037,,,,,,,,29.5774647887,,,,
215.702,73.0769230769,,,,,,,,77.027027027,,,,,,,
216.726,,,,,,,,,,,,,,96.4285714286,50,
217.24,,,,,,,,,,,,,73.0769230769,,,
217.86,,,,,,,,,,,,30.985915493,,,,
218.738,,,,,,,,,78.3783783784,,,,,,,
220.04,,,,,,,,,,,,,,,51.25,
220.88,,,,,,,,,,77.7777777778,,,,,,
221.67,,,,,,,88.5714285714,,79.7297297297,,93.5483870968,32.3943661972,,,,
223.02,,,,,,,,,,,,,75,,,
223.92,,61.5384615385,,,,,,,,,,,,,52.5,
224.8,,,,,,,,,81.0810810811,,,,,,,
225.48,,,,,,,,,,,,33.8028169014,,,,
225.76,76.9230769231,,,,,,,,,,,,,,,
227.58,,,,,,,,,,,,,,,53.75,
228.04,,,,,,,,,82.4324324324,,,,,,,
229.08,,,,,,,,,,,,35.2112676056,76.9230769231,,,
231.36,,,,,,,,,,,,,,,55,
231.454,,,,,,,,,83.7837837838,,,,,,,
232.32,,,,33.3333333333,,,,,,,,,,,,
233.094,,,,,86.6666666667,,85.7142857143,,,,90.3225806452,36.6197183099,,,,
234.8,,,,,,,,,85.1351351351,,,,,,56.25,
235.83,,65.3846153846,,,,,,,,,,,78.8461538462,,,
236.7,80.7692307692,,,,,,,,,,,38.0281690141,,,,
237.44,,,,,,,,,,83.3333333333,,,,,,
238.6,,,,,,,,,86.4864864865,,,,,,,
238.958,,,,,,,,,,,,,,,57.5,
240.392,,,,,,,,,,,,39.4366197183,,,,
241.8,,,,,,,,,87.8378378378,,,,,,,
242.46,,,,,,,,,,,,,,,58.75,
243.64,,,,,,,,,,,,,80.7692307692,,,
243.804,,,,,,,,,,,,40.8450704225,,,,
244.52,,,,,,,,,,,87.0967741935,,,,,
245.82,,,,,,,,,89.1891891892,,,,,,,
246.684,,,,,,,82.8571428571,,,,,,,,60,
247.42,84.6153846154,69.2307692308,,,,,,,,,,42.2535211268,,,,
249.4,,,,,,,,,90.5405405405,,,,,,,
250.38,,,,,,,,,,,,,,,61.25,
251.02,,,,,,,,,,,,43.661971831,,,,
252.08,,,,,,,,,,,,,82.6923076923,,,
252.732,,,,29.6296296296,,,,,,,,,,,,
253.384,,,,,,,,,91.8918918919,,,,,,,
254.32,,,,,,,,,,,83.8709677419,,,,,
254.64,,,,,,,,,,,,,,,62.5,
254.94,,,,,80,,,,,,,45.0704225352,,,,
257.04,,,,,,,,,,88.8888888889,,,,,,
257.374,,,,,,,,,93.2432432432,,,,,,,
258.22,88.4615384615,73.0769230769,,,,,,,,,,,,,,
258.464,,,,,,,,,,,,46.4788732394,,,63.75,
261.382,,,,,,,,,94.5945945946,,,,,,,
261.64,,,,,,,,,,,,,84.6153846154,,,
261.78,,,,,,,,,,,,47.8873239437,,,,
262.718,,,,,,,,,,,,,,,65,
265.18,,,,,,,80,97.5,,,80.6451612903,49.2957746479,,,,97.2222222222
265.722,,,,,,,,,95.9459459459,,,,,,,
267.076,,,,,,,,,,,,,,,66.25,
269.2,,76.9230769231,,,,,,,,,,50.7042253521,,,,
269.764,92.3076923077,,,,,,,,,,,,,,,
270.436,,,,,,,,,97.2972972973,,,,,,,
271.4,,,,,,,,,,,,,,,67.5,
272.52,,,,,,,,,,,,52.1126760563,86.5384615385,,,
274.468,,,,,,,,,,,77.4193548387,,,,,
275.14,,,,25.9259259259,,,,,,,,,,,,
275.46,,,,,,,,,98.6486486486,,,,,,,
276.32,,,,,,,,,,,,,,,68.75,
276.484,,,,,,,,,,,,53.5211267606,,,,
277.156,,,,,73.3333333333,94.7368421053,,,,,,,,100,,
280.58,,80.7692307692,,,,,77.1428571429,,100,,,54.9295774648,,,70,
281.188,,,,,,,,,,94.4444444444,,,,,,
282.02,,,,,,,,,,,,,88.4615384615,,,
282.3,96.1538461538,,,,,,,,,,,,,,,
283.876,,,,,,,,,,,,56.338028169,,,,
285.28,,,,,,,,,,,74.1935483871,,,,71.25,
287.32,,,,,,,,,,,,57.7464788732,,,,
290.06,,,,,,,,,,,,,,,72.5,
291.3,,,,,,,,,,,,59.1549295775,,,,
291.42,,84.6153846154,,,,,,,,,,,,,,
292.84,,,,,,,,,,,,,90.3846153846,,,
293.7,,,,,,,80,,,,,,,,,
294.92,,,,,,,,,,,,60.5633802817,,,73.75,
298.66,,,,,,,,,,,,61.9718309859,,,,
300.004,100,,,22.2222222222,,,,,,,,,,,75,
300.676,,,,,,,,,,,70.9677419355,,,,,
302.14,,88.4615384615,,,,,,,,,,,,,,
302.82,,,,,,,,,,,,63.3802816901,,,,
305.1,,,,,,,,,,,,,,,76.25,
305.54,,,,,,,,,,,,,92.3076923077,,,
306.724,,,,,,,77.1428571429,,,,,64.7887323944,,,,94.4444444444
308.24,,,,,66.6666666667,89.4736842105,,,,,,,,,,
310.56,,,,,,,,,,,,66.1971830986,,,77.5,
313.78,,,,,,,,,,100,,,,,,
314.28,,,,,,,,,,,,67.6056338028,,,,
315.22,,92.3076923077,,,,,,,,,,,,,,
316.196,,,,,,,,,,,,,,,78.75,
318.14,,,,,,,,,,,,69.014084507,,,,
319.56,,,,,,,,,,,67.7419354839,,,,,
321.62,,,,,,,,,,,,,94.2307692308,,,
321.96,,,,,,,,,,,,70.4225352113,,,80,
322.46,,,,,,,74.2857142857,,,,,,,,,
325.92,,,,,,,,,,,,71.8309859155,,,,
327.636,,,,18.5185185185,,,,,,,,,,,81.25,
330.18,,,,,,,,,,,,73.2394366197,,,,
331.68,,96.1538461538,,,,,,,,,,,,,,
333.38,,,,,,,,95,,,,,,,82.5,
334.74,,,,,,,,,,,,74.6478873239,,,,
334.98,,,,,,,,,,,64.5161290323,,,,,
339.076,,,,,,,,,,,,76.0563380282,,,,
339.32,,,,,,,,,,,,,,,83.75,
340.62,,,,,,,,,,,,,96.1538461538,,,
343.36,,,,,60,84.2105263158,71.4285714286,,,,,77.4647887324,,,,91.6666666667
346.14,,,,,,,,,,,,,,,85,
348.02,,,,,,,,,,,,78.8732394366,,,,
352.98,,,,,,,,,,,,80.2816901408,,,86.25,
