Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
194.336,,,,98.9795918367,,,,,,,,,,,,
194.702,,,,,,,,,,,65.7894736842,,,,,
195.484,,,,100,,,,,86,,,,,,,
196.516,,,,98.9795918367,,,,,,,,,,,,
196.756,,,,,46.6666666667,,,,,,,,,,,76.9230769231
197.168,,,,100,,,,,,,,,,,,
198.382,,,,98.9795918367,,,,,,,63.1578947368,,,,,
198.8,,,,,,,,,,,,65.2173913043,,,,
199.46,,,,100,,,,,,,,,,81.4814814815,,
200.376,,,,98.9795918367,,,,,,,,,,,,
201.064,,,,,,,,,84,,,,,,,
201.216,,,,100,,,,,,,,,,,91.4893617021,
202.122,,,,,,,,,,,,,,,,74.358974359
202.4,,,,,,,,,,,60.5263157895,,,,,
202.686,,,,98.9795918367,,,,,,,,,,,,
203.24,,,,100,,,,,,,,,,,,
204.424,,,,98.9795918367,,,,,,,,,,,,
205.264,,,,100,40,,,,,,,,,,,
206.084,,,,,,,,,82,,57.8947368421,,,,,
206.448,,,,98.9795918367,,,,,,,,,,,,
207.44,,,,100,,,,,,,,,,,,71.7948717949
208.472,,,,98.9795918367,,,,,,,,,,,,
209.34,,,,100,,,,,,,,,,77.7777777778,,
210,,,,,,,,,,,55.2631578947,,,,,
210.56,,,,98.9795918367,,,,,,,,69.5652173913,,,,
210.9,,,,,,,,,,,,,,,93.6170212766,
211.336,,,,100,,91.6666666667,,,,,,,,,,
212.016,,,,,,,,,80,,,,,,,
212.8,,,,98.9795918367,,,,,,,,,,,,
212.976,,,,,,,,,,,,,,,,69.2307692308
213.498,,,,100,,,,,,,,,,,,
214.24,,,,,,,,,,,52.6315789474,,,,,
214.544,,,,98.9795918367,33.3333333333,,,,,,,,,,,
215.64,77.7777777778,,,100,,,,,,,,,,,,
216.568,,,,98.9795918367,,,,,,,,,,,,
217.484,,,,100,,,,,78,,,,,,,
218.4,,,,,,,,,,,50,,,,,
218.836,,,,98.9795918367,,,,,,,,,,,,66.6666666667
219.432,,,,100,,,,,,,,,,,,
220.06,,,,,,,,,,,,,,74.0740740741,,
220.72,,,,98.9795918367,,,,,,,,,,,,
221.456,,,,100,,,,,,,,,,,,
222.112,,,,,,,,,,,,,,,95.7446808511,
222.64,,,,,,,,,,,47.3684210526,,,,,
222.98,,,,98.9795918367,,,,,,,,,,,,
223.244,,,,,,,,,,,,73.9130434783,,,,
223.504,,,,100,,,,,76,,,,,,,
224.896,,,,98.9795918367,26.6666666667,,,,,,,,,,,
225.04,,,,,,,,,,,,,,,,64.1025641026
225.504,,,,100,,,,,,,,,,,,
226.862,,,,98.9795918367,,,,,,,44.7368421053,,,,,
227.68,,,,100,,,,,,,,,,,,
229.072,,,,98.9795918367,,,,,74,,,,,,,
229.552,,,,100,,,,,,,,,,,,
230.936,,,,98.9795918367,,,,,,,,,,70.3703703704,,61.5384615385
231.62,,,,,,,,,,,42.1052631579,,,,,
231.856,,,,100,,,,,,,,,,,,
232.76,,,,98.9795918367,,,,,,,,,,,,
233.608,,,,100,,,,,,,,,,,,
234.784,,,,98.9795918367,,83.3333333333,,,,,,,,,,
235.624,,,,,,,,,72,,,,,,,
235.76,,,,100,,,,,,,,,,,,
236.032,72.2222222222,,,,,,,,,,,,,,97.8723404255,
236.42,,,,,20,,,,,,39.4736842105,78.2608695652,,,,
236.808,,,,98.9795918367,,,,,,,,,,,,
237.648,,,,100,,,,,,,,,,,,58.9743589744
238.832,,,,98.9795918367,,,,,,,,,,,,
239.672,,,,100,,,,,,,,,,,,
241.162,,,,98.9795918367,,,,,,,36.8421052632,,,,,
