Time (min),clk,CLK,cry,CRY,cwo,CWO,CYC/CLK,PDP1,pdp1,PER,per,PER/TIM-p,TIM,tim,VRI,vri
285.108,,,,98.9795918367,,,,,,,,,,,,
285.76,,,,,,,,,,,12.5,,,,,
286.952,,,,100,,,,,,,,,,,,
287.526,,,67,,,,,,,,,,,,,34.2857142857
288.22,,,,98.9795918367,,,,,51.9230769231,,,,,,,
288.782,,,,,,,,,,,,,,50,,
290.192,,,66,100,,,,,,,,,,,,
291.236,,,,98.9795918367,,,,,,,,,,,,
293.296,,,65,100,,,,,,,,,,,,
294.48,,,,98.9795918367,,,,,,,10,,,,,
295.792,,,64,,,,,,,,,,,,,
296.76,,,,100,,,,,50,,,,,,,
297.824,,,,98.9795918367,,,,,,,,,,,,
298.592,,,63,,,46.1538461538,,,,,,,,,,
299.546,,,,,,,,,,,,,,,,31.4285714286
300.18,,,,100,,,,,,,,95.652173913,,,,
301.392,,,62,98.9795918367,,,,,,,,,,,,
303.628,,,,100,,,,,,,,,,,,
304.26,,,61,,,,,,,,7.5,,,,,
304.812,,,,98.9795918367,,,,,,,,,,,,
306.382,,,,,,,,,48.0769230769,,,,,46.4285714286,,
306.992,,,60,,,,,,,,,,,,,
307.7,0,,,100,,,,,,,,,,,,
308.616,,,,98.9795918367,,,,,,,,,,,,
309.792,,,59,,,,,,,,,,,,,
311.396,,,,100,,,,,,,,,,,,
312.106,,,,,,,,,,,,,,,97.5,28.5714285714
312.592,,,58,98.9795918367,,,,,,,,,,,,
314.72,,,,,,,,,,,5,,,,,
315.7,,,57,,,,,,,,,,,,,
315.88,,,,100,,,,,46.1538461538,,,,,,,
316.884,,,,98.9795918367,,,,,,,,,,,,
318.192,,,56,,,,,,,,,,,,,
320.224,,,,100,,,,,,,,,,,,
320.992,,,55,,,,,,,,,,,,,
321.408,,,,98.9795918367,,,,,,,,,,,,
322.516,,,,,,38.4615384615,,,,,,,,,,
323.792,,,54,,,,,,,,,,,,,
325.268,,,,100,,,,,,,,,,,,
326.592,,,,,,,,,,,,,,42.8571428571,,
326.76,,,53,98.9795918367,,,,,44.2307692308,,,,,,,25.7142857143
327.6,,,,,,,,,,84.6153846154,2.5,,,,,
329.392,,,52,,,,,,,,,,,,,
331.032,,,,100,,,,,,,,,,,,
332.216,,,51,98.9795918367,,,,,,,,,,,,
334.992,,,50,,,,,,,,,,,,,
337.792,,,49,,,,,,42.3076923077,,,,,,,
338.576,,,,100,,,,,,,,,,,,
339.76,,,,98.9795918367,,,,,,,,,,,,
340.592,,,48,,,,,,,,,,,,,
341.2,,,,,,,,,,,0,,,,,
341.746,,,,,,,,,,,,,,,,22.8571428571
343.392,,,47,,,,,,,,,,,,,
344.506,,,,,,,,,,,,,,,95,
346.192,,,46,,,,,,,,,,,,,
346.982,,,,,,,,,,,,,,39.2857142857,,
347.98,,,,,,,,,,,,100,,,,
348.992,,,45,,,,,,40.3846153846,,,,,,,
351.316,,,,,,30.7692307692,,,,,,,,,,
351.792,,,44,,,,,,,,,,,,,
354.592,,,43,,,,,,,,,,,,,
357.392,,,42,,,,,,,,,,,,,
359.766,,,,,,,,,,,,,,,,20
360.192,,,41,,,,,,,,,,,,,
361.86,,,,,,,,,38.4615384615,,,,,,,
362.992,,,40,,,,,,,,,,,,,
365.792,,,39,97.9591836735,,,,,,,,,,,,
367.12,,,,98.9795918367,,,,,,,,,,,,
368.592,,,38,,,,,,,,,,,,,
370.982,,,,,,,,,,,,,,35.7142857143,,
371.392,,,37,,,,,,,,,,,,,
372.432,,,,,,,,,,,,,,,92.5,
374.192,,,36,,,,,,,,,,,,,
374.96,,,,,,,,,36.5384615385,,,,,,,
375.6,,,,,,,,,,76.9230769231,,,,,,
376.54,,,,97.9591836735,,,,,,,,,,,,
377.232,,,35,,,,,,,,,,,,,
378.232,,,,98.9795918367,,,,,,,,,,,,
379.046,,,,,,,,,,,,,,,,17.1428571429
379.792,,,34,,,,,,,,,,,,,
382.592,,,33,,,,,,,,,,,,,
384.212,,,,97.9591836735,,,,,,,,,,,,
385.672,,,32,,,,,,,,,,,,,
386.332,,,,98.9795918367,,,,,,,,,,,,
387.316,,,,,,23.0769230769,,,,,,,,,,
388.192,,,31,,,,,,,,,,,,,
390.48,,,,,,,,,34.6153846154,,,,,,,
390.992,,,30,97.9591836735,,,,,,,,,,,,
393.792,,,29,98.9795918367,,,,,,,,,,,,
396.332,,,,,,,,,,,,,,,90,
396.592,,,28,,,,,,,,,,,,,
397.272,,,,97.9591836735,,,,,,,,,,,,
399.412,,,27,,,,,,,,,,,,,
399.782,,,,,,,,,,,,,,32.1428571429,,
401.012,,,,98.9795918367,,,,,,,,,,,,
402.352,,,26,,,,,,,,,,,,,
403.046,,,,,,,,,,,,,,,,14.2857142857
404.252,,,,97.9591836735,,,,,,,,,,,,
405.172,,,25,,,,,,,,,,,,,
406.3,,,,,,,,,32.6923076923,,,,,,,
407.872,,,24,,,,,,,,,,,,,
410.592,,,23,,,,,,,,,,,,,
