Time (min),PDP1_ANIMO,PDP1_ODE,
1068.16,45.9459, ,
1069.9798, ,4.3992,
1071.6875, ,4.1193,
1072.5414, ,3.8485,
1074.6508, ,3.5868,
1075.76,44.5946, ,
1077.2124, ,3.3382,
1078.5183, ,3.0985,
1079.774, ,2.8677,
1081.8835, ,2.6457,
1082.7374, ,2.4355,
1083.1895, ,2.2339,
1084.04,43.2432, ,
1084.4451, ,2.041,
1087.8605, ,1.8567,
1090.0202, ,1.683,
1090.8741, ,1.5177,
1091.12,41.8919, ,
1092.1297, ,1.3609,
1092.5818, ,1.2126,
1094.6913, ,1.0739,
1098.82,40.5405, ,
1100.2163, ,0.9436,
1101.0701, ,0.8217,
1103.2299, ,0.7082,
1104.0837, ,0.6035,
1104.9376, ,0.5072,
1107.152,39.1892, ,
1107.4991, ,0.4192,
1110.0607, ,0.3396,
1113.0241, ,0.2685,
1115.732,37.8378, ,
1115.9875, ,0.2056,
1116.8413, ,0.1512,
1117.6952, ,0.105,
1119.0011, ,0.0672,
1121.5626, ,0.0378,
1123.572,36.4865, ,
1124.1242, ,0.0167,
1126.2337, ,0.0042,
1127.9414, ,0,
1129.6492, ,0.0044,
1131.72,35.1351, ,
1140.1968, ,0.0167,
1140.532,33.7838, ,
1144.1646, ,0.0378,
1149.86,32.4324, ,
1151.3973, ,0.0672,
1158.24,31.0811, ,
1159.4838, ,0.105,
1164.1549, ,0.1512,
1165.8626, ,0.179,
1167.232,29.7297, ,
1168.8762, ,0.24,
1170.5839, ,0.3099,
1172.6935, ,0.3888,
1175.255, ,0.4079,
1176.5609, ,0.4275,
1176.68,28.3784, ,
1177.4148, ,0.4476,
1183.3415, ,0.4681,
1184.6474, ,0.4891,
1185.472,27.027, ,
1187.209, ,0.5106,
1192.1312, ,0.5325,
1193.5877, ,0.5549,
1194.592,25.6757, ,
1199.9665, ,0.5819,
1201.6743, ,0.6096,
1202.1263, ,0.638,
1203.3819, ,0.667,
1204.088,24.3243, ,
1206.3956, ,0.779,
1209.3589, ,0.8997,
1212.3223, ,1.0292,
1214.348,22.973, ,
