Time (min),CLK/CYC_ODE,CLK_ODE,clk_ODE,CRY_ODE,CWO_ODE,cwo_ODE,PDP1_ODE,pdp1_ODE,PER/TIM_ODE,PER_ODE,per_ODE,TIM_ODE,tim_ODE,VRI_ODE,vri_ODE,
337.7786,86.7307,15.7149,36.7962,33.1832,46.7461,99.3252,85.847,97.9163,74.0144,96.1929,92.547,97.527,99.8493,73.7307,99.6261,
339.9128,86.4056,16.1217,37.354,32.7347,47.4445,99.4514,86.2725,98.0791,74.646,96.4311,92.261,97.6954,99.8008,74.2754,99.5505,
343.5536,86.0775,16.5331,37.9139,32.286,48.1445,99.5645,86.6924,98.2354,75.2724,96.6615,91.9708,97.8577,99.7456,74.8164,99.4681,
346.8178,85.7464,16.949,38.4759,31.837,48.8457,99.6645,87.1066,98.385,75.8935,96.8843,91.6767,98.0139,99.6837,75.3536,99.379,
348.952,85.4124,17.3694,39.0399,31.3877,49.5482,99.7514,87.5151,98.5281,76.5091,97.0993,91.3785,98.1641,99.6153,75.8869,99.2832,
349.517,85.0686,17.8031,39.6174,30.9289,50.266,99.8266,87.926,98.6673,77.1315,97.3107,91.0702,98.3112,99.5387,76.427,99.1787,
352.1534,84.7217,18.2414,40.1967,30.47,50.9847,99.8882,88.3308,98.7996,77.7478,97.5141,90.7578,98.452,99.4553,76.9628,99.0674,
353.2206,84.3717,18.6843,40.7779,30.0107,51.7042,99.9363,88.7294,98.925,78.3579,97.7094,90.4415,98.5866,99.3652,77.4943,98.9494,
353.3461,84.0187,19.1317,41.3607,29.5513,52.4242,99.9709,89.1218,99.0435,78.9616,97.8967,90.1211,98.7149,99.2684,78.0214,98.8246,
356.9241,83.6549,19.5934,41.9579,29.0817,53.1601,99.9924,89.5163,99.1574,79.5717,98.0797,89.7898,98.8396,99.1625,78.5552,98.6903,
357.9913,83.2879,20.0597,42.5567,28.6118,53.8963,100,89.9041,99.2641,80.1747,98.2543,89.4544,98.9578,99.0498,79.0842,98.549,
366.5283,82.9177,20.5306,43.157,28.1418,54.6324,99.9937,90.2853,99.3637,80.7706,98.4205,89.115,99.0695,98.9301,79.6082,98.401,
367.5955,82.5444,21.006,43.7587,27.6716,55.3683,99.9737,90.6598,99.4559,81.3593,98.5783,88.7717,99.1749,98.8037,80.1273,98.2462,
369.2276,82.159,21.4972,44.3759,27.1902,56.1211,99.939,91.036,99.5429,81.954,98.7311,88.4163,99.276,98.6672,80.6533,98.0807,
371.3618,81.7704,21.9929,44.9945,26.7086,56.8733,99.89,91.4051,99.6223,82.5408,98.8751,88.0568,99.3705,98.5236,81.1738,97.9083,
375.5676,81.3785,22.4932,45.6142,26.2268,57.6246,99.8269,91.7669,99.6942,83.1194,99.0104,87.6934,99.4582,98.373,81.6888,97.729,
383.6024,80.9833,22.9979,46.2349,25.745,58.3749,99.7498,92.1215,99.7585,83.6898,99.1369,87.3259,99.5393,98.2154,82.1981,97.5428,
384.1046,80.5744,23.5204,46.8729,25.2504,59.1434,99.6562,92.4777,99.8166,84.2663,99.2577,86.9449,99.6157,98.0464,82.7148,97.3447,
386.8038,80.1621,24.0474,47.5118,24.7557,59.9104,99.548,92.8262,99.8667,84.8339,99.3692,86.5597,99.685,97.8702,83.2253,97.1396,
394.2738,79.7464,24.5789,48.1515,24.2609,60.6756,99.4254,93.1668,99.9088,85.3922,99.4716,86.1706,99.7474,97.6868,83.7296,96.9274,
398.4795,79.3273,25.1147,48.7918,23.7661,61.4388,99.2885,93.4995,99.943,85.9413,99.5648,85.7775,99.8028,97.4962,84.2276,96.7082,
405.4473,78.8923,25.671,49.4518,23.2565,62.2223,99.1329,93.8339,99.9699,86.4968,99.6513,85.3686,99.8527,97.2926,84.7336,96.4753,
407.0166,78.4537,26.2318,50.1122,22.7468,63.0032,98.9624,94.1597,99.9884,87.0422,99.7282,84.9557,99.8953,97.0814,85.2326,96.2352,
410.7829,78.0116,26.7969,50.773,22.2371,63.7813,98.7772,94.4771,99.9984,87.5773,99.7954,84.5387,99.9307,96.8629,85.7247,95.988,
413.9843,77.566,27.3664,51.4341,21.7273,64.5562,98.5775,94.786,100,88.102,99.8531,84.1176,99.9587,96.6369,86.2097,95.7336,
415.5536,77.1012,27.9601,52.1182,21.1998,65.3545,98.3559,95.0965,99.9928,88.6339,99.9027,83.6778,99.9802,96.3954,86.7039,95.463,
416.0558,76.6327,28.5583,52.8023,20.6724,66.149,98.1191,95.3977,99.9766,89.1544,99.9421,83.2338,99.9939,96.1461,87.1903,95.1849,
425.1578,76.1605,29.1607,53.4863,20.1449,66.9394,97.8674,95.6897,99.9515,89.6634,99.9715,82.7856,100,95.8891,87.6688,94.8995,
