Time (min),vri_ANIMO,vri_ODE,
1380.448,17.1429, ,
1381.5864, ,69.3291,
1384.5498, ,69.8796,
1387.5633, ,70.4284,
1389.6728, ,70.9757,
1390.5267, ,71.5174,
1392.2344, ,72.0573,
1392.8,20, ,
1393.2892, ,72.5955,
1396.0516, ,73.1317,
1397.3575, ,73.6633,
1399.9191, ,74.1929,
1402.0287, ,74.7204,
1404,22.8571, ,
1405.8961, ,75.2458,
1406.75, ,75.7676,
1407.1518, ,76.2871,
1409.3115, ,76.8043,
1411.0192, ,77.3191,
1413.84,25.7143, ,
1413.9826, ,77.8319,
1421.6673, ,78.342,
1422.72,28.5714, ,
1423.7768, ,78.8495,
1426.3383, ,79.3543,
1427.6442, ,79.8594,
1428.0461, ,80.3615,
1429.7538, ,80.8605,
1431.028,31.4286, ,
1432.3154, ,81.3562,
1434.8769, ,81.856,
1437.4384, ,82.3523,
1439.5,34.2857, ,
1440,34.2857,82.8448,
