Time (min),VRI_ANIMO,VRI_ODE,
873.8947, ,60.6614,
874.7485, ,60.2471,
877.3101, ,59.8324,
879.4196, ,59.4174,
880.8,79.4872, ,
882.383, ,58.9998,
884.0907, ,58.5818,
886.6523, ,58.1636,
888.812, ,57.745,
889.12,78.2051, ,
892.6293, ,57.293,
895.1908, ,56.8408,
896.66,76.9231, ,
896.8985, ,56.3883,
897.7524, ,55.9357,
899.4601, ,55.4808,
900.314, ,55.0257,
901.1678, ,54.5707,
904.092,75.641, ,
907.9986, ,54.1156,
911.94,74.359, ,
912.2679, ,53.6512,
914.3774, ,53.187,
916.4869, ,52.7229,
919.48,73.0769, ,
919.5005, ,52.259,
921.6101, ,51.7779,
922.0621, ,51.2972,
925.0255, ,50.8168,
926.972,71.7949, ,
927.587, ,50.3369,
929.2948, ,49.8313,
931.0024, ,49.3264,
933.564, ,48.8221,
933.8,70.5128, ,
937.8333, ,48.3185,
938.2351, ,47.7811,
940.7967, ,47.2447,
941.272,69.2308, ,
944.2121, ,46.7094,
945.518, ,46.1752,
947.1755, ,45.601,
948.0293, ,45.0283,
948.3,67.9487, ,
948.8832, ,44.4571,
949.7371, ,43.8876,
950.5909, ,43.2769,
952.7506, ,42.6683,
954.8601, ,42.0618,
955.14,66.6667, ,
955.3122, ,41.4575,
957.8738, ,40.8186,
959.1294, ,40.1823,
959.8326, ,39.5489,
960.4353, ,38.9184,
962.14,65.3846, ,
962.143, ,38.2653,
964.6544, ,37.6157,
966.8141, ,36.9695,
968.5219, ,36.3268,
969.3,64.1026, ,
969.7775, ,36.0536,
972.3391, ,35.7811,
973.1929, ,35.5093,
975.98,62.8205, ,
976.2065, ,35.2382,
977.9142, ,34.9678,
980.8776, ,34.698,
982.82,61.5385, ,
982.9871, ,34.429,
986.0007, ,34.1607,
989.818, ,33.6657,
989.818, ,33.1732,
989.892,60.2564, ,
992.8315, ,32.6832,
994.0872, ,32.1959,
996.98,58.9744, ,
997.0506, ,31.694,
1001.7719, ,31.195,
1002.6257, ,30.6989,
1003.4796, ,30.2058,
1003.66,57.6923, ,
1005.1873, ,29.6802,
1006.0412, ,29.1581,
1009.0045, ,28.6395,
1010.5,56.4103, ,
1012.0182, ,28.1246,
1012.8218, ,27.5766,
1014.5295, ,27.0329,
1017.5,55.1282, ,
1017.5431, ,26.4935,
1018.397, ,25.9584,
1018.7988, ,25.3909,
1020.5064, ,24.8285,
1022.2142, ,24.2712,
1023.068, ,23.7191,
1024.66,53.8462, ,
1025.2277, ,23.1395,
1027.5885, ,22.5659,
1029.4468, ,21.9983,
1031.54,52.5641, ,
1033.3143, ,21.4367,
1036.2777, ,20.8583,
1038.4374, ,20.2866,
1038.512,51.2821, ,
1040.999, ,19.7217,
1041.8528, ,19.1636,
1043.5605, ,18.6024,
1045.48,50, ,
1047.3778, ,18.0485,
1050.3412, ,17.5018,
1051.6471, ,16.9625,
1052.34,48.7179, ,
1053.2041, ,16.4316,
1057.5235, ,15.9081,
1058.8797, ,15.3921,
1059.68,47.4359, ,
1059.7335, ,14.8836,
1061.4413, ,14.3894,
1063.5508, ,13.9025,
1065.7105, ,13.4232,
1066.52,46.1538, ,
1066.9662, ,12.9514,
1069.9798, ,12.4951,
1071.6875, ,12.0462,
1072.5414, ,11.6047,
1073.52,44.8718, ,
1074.6508, ,11.1706,
1077.2124, ,10.751,
1078.5183, ,10.3387,
1079.774, ,9.9338,
1080.68,43.5897, ,
1081.8835, ,9.5363,
1082.7374, ,9.1516,
1083.1895, ,8.7742,
1084.4451, ,8.4042,
1087.8605, ,8.0415,
1088.02,42.3077, ,
1090.0202, ,7.6901,
1090.8741, ,7.346,
1092.1297, ,7.0092,
1092.5818, ,6.6798,
1094.6913, ,6.3603,
1095.712,41.0256, ,
1100.2163, ,6.0482,
1101.0701, ,5.7435,
1103.2299, ,5.4461,
